"","MovieID","Title","Genres","Year","image_link"
"1","1","Toy Story (1995)","Animation|Children's|Comedy",1995,"https://liangfgithub.github.io/MovieImages/1.jpg?raw=true"
"2","2","Jumanji (1995)","Adventure|Children's|Fantasy",1995,"https://liangfgithub.github.io/MovieImages/2.jpg?raw=true"
"3","3","Grumpier Old Men (1995)","Comedy|Romance",1995,"https://liangfgithub.github.io/MovieImages/3.jpg?raw=true"
"4","4","Waiting to Exhale (1995)","Comedy|Drama",1995,"https://liangfgithub.github.io/MovieImages/4.jpg?raw=true"
"5","5","Father of the Bride Part II (1995)","Comedy",1995,"https://liangfgithub.github.io/MovieImages/5.jpg?raw=true"
"6","6","Heat (1995)","Action|Crime|Thriller",1995,"https://liangfgithub.github.io/MovieImages/6.jpg?raw=true"
"7","7","Sabrina (1995)","Comedy|Romance",1995,"https://liangfgithub.github.io/MovieImages/7.jpg?raw=true"
"8","8","Tom and Huck (1995)","Adventure|Children's",1995,"https://liangfgithub.github.io/MovieImages/8.jpg?raw=true"
"9","9","Sudden Death (1995)","Action",1995,"https://liangfgithub.github.io/MovieImages/9.jpg?raw=true"
"10","10","GoldenEye (1995)","Action|Adventure|Thriller",1995,"https://liangfgithub.github.io/MovieImages/10.jpg?raw=true"
"11","11","American President, The (1995)","Comedy|Drama|Romance",1995,"https://liangfgithub.github.io/MovieImages/11.jpg?raw=true"
"12","12","Dracula: Dead and Loving It (1995)","Comedy|Horror",1995,"https://liangfgithub.github.io/MovieImages/12.jpg?raw=true"
"13","13","Balto (1995)","Animation|Children's",1995,"https://liangfgithub.github.io/MovieImages/13.jpg?raw=true"
"14","14","Nixon (1995)","Drama",1995,"https://liangfgithub.github.io/MovieImages/14.jpg?raw=true"
"15","15","Cutthroat Island (1995)","Action|Adventure|Romance",1995,"https://liangfgithub.github.io/MovieImages/15.jpg?raw=true"
"16","16","Casino (1995)","Drama|Thriller",1995,"https://liangfgithub.github.io/MovieImages/16.jpg?raw=true"
"17","17","Sense and Sensibility (1995)","Drama|Romance",1995,"https://liangfgithub.github.io/MovieImages/17.jpg?raw=true"
"18","18","Four Rooms (1995)","Thriller",1995,"https://liangfgithub.github.io/MovieImages/18.jpg?raw=true"
"19","19","Ace Ventura: When Nature Calls (1995)","Comedy",1995,"https://liangfgithub.github.io/MovieImages/19.jpg?raw=true"
"20","20","Money Train (1995)","Action",1995,"https://liangfgithub.github.io/MovieImages/20.jpg?raw=true"
"21","21","Get Shorty (1995)","Action|Comedy|Drama",1995,"https://liangfgithub.github.io/MovieImages/21.jpg?raw=true"
"22","22","Copycat (1995)","Crime|Drama|Thriller",1995,"https://liangfgithub.github.io/MovieImages/22.jpg?raw=true"
"23","23","Assassins (1995)","Thriller",1995,"https://liangfgithub.github.io/MovieImages/23.jpg?raw=true"
"24","24","Powder (1995)","Drama|Sci-Fi",1995,"https://liangfgithub.github.io/MovieImages/24.jpg?raw=true"
"25","25","Leaving Las Vegas (1995)","Drama|Romance",1995,"https://liangfgithub.github.io/MovieImages/25.jpg?raw=true"
"26","26","Othello (1995)","Drama",1995,"https://liangfgithub.github.io/MovieImages/26.jpg?raw=true"
"27","27","Now and Then (1995)","Drama",1995,"https://liangfgithub.github.io/MovieImages/27.jpg?raw=true"
"28","28","Persuasion (1995)","Romance",1995,"https://liangfgithub.github.io/MovieImages/28.jpg?raw=true"
"29","29","City of Lost Children, The (1995)","Adventure|Sci-Fi",1995,"https://liangfgithub.github.io/MovieImages/29.jpg?raw=true"
"30","30","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Drama",1995,"https://liangfgithub.github.io/MovieImages/30.jpg?raw=true"
"31","31","Dangerous Minds (1995)","Drama",1995,"https://liangfgithub.github.io/MovieImages/31.jpg?raw=true"
"32","32","Twelve Monkeys (1995)","Drama|Sci-Fi",1995,"https://liangfgithub.github.io/MovieImages/32.jpg?raw=true"
"33","33","Wings of Courage (1995)","Adventure|Romance",1995,"https://liangfgithub.github.io/MovieImages/33.jpg?raw=true"
"34","34","Babe (1995)","Children's|Comedy|Drama",1995,"https://liangfgithub.github.io/MovieImages/34.jpg?raw=true"
"35","35","Carrington (1995)","Drama|Romance",1995,"https://liangfgithub.github.io/MovieImages/35.jpg?raw=true"
"36","36","Dead Man Walking (1995)","Drama",1995,"https://liangfgithub.github.io/MovieImages/36.jpg?raw=true"
"37","37","Across the Sea of Time (1995)","Documentary",1995,"https://liangfgithub.github.io/MovieImages/37.jpg?raw=true"
"38","38","It Takes Two (1995)","Comedy",1995,"https://liangfgithub.github.io/MovieImages/38.jpg?raw=true"
