"movie","total_ratings","average_rate"
"1",1,2077,4.1468
"2",17,835,4.0275
"3",28,179,4.0559
"4",29,403,4.062
"5",47,1137,4.1064
"6",50,1783,4.5171
"7",53,8,4.75
"8",58,501,4.0938
"9",110,2443,4.235
"10",111,1240,4.1839
"11",116,41,4.0976
"12",121,37,4.0541
"13",128,12,4.3333
"14",150,1251,4.0735
"15",162,491,4.0631
"16",213,123,4.0569
"17",214,28,4.25
"18",232,346,4.0751
"19",246,716,4.1885
"20",260,2991,4.4537
"21",293,923,4.1062
"22",296,2171,4.2782
"23",306,334,4.2275
"24",307,243,4.0988
"25",318,2227,4.5546
"26",326,61,4.3443
"27",356,2194,4.088
"28",363,62,4.2581
"29",439,2,4.5
"30",446,254,4.0827
"31",457,1995,4.1033
"32",527,2304,4.5104
"33",541,1800,4.2733
"34",556,132,4.2273
"35",557,2,4.5
"36",578,2,4.5
"37",581,141,4.0496
"38",589,2649,4.0585
"39",593,2578,4.3518
"40",598,8,4.25
"41",599,264,4.0871
"42",602,41,4.122
"43",608,2513,4.2547
"44",615,67,4.0448
"45",649,16,4.1875
"46",668,47,4.4043
"47",669,23,4.1739
"48",670,56,4.4107
"49",678,306,4.2451
"50",720,438,4.4269
"51",741,314,4.0892
"52",745,657,4.5205
"53",750,1367,4.4499
"54",759,59,4.1017
"55",787,3,5
"56",800,630,4.0825
"57",858,2223,4.525
"58",898,582,4.3007
"59",899,751,4.2836
"60",903,905,4.2729
"61",904,1050,4.4762
"62",905,374,4.2807
"63",906,187,4.0963
"64",908,1315,4.384
"65",909,417,4.1271
"66",910,832,4.3005
"67",911,306,4.183
"68",912,1669,4.4128
"69",913,1043,4.396
"70",914,636,4.1541
"71",916,425,4.2165
"72",919,1718,4.248
"73",922,470,4.4915
"74",923,1116,4.3889
"75",924,1716,4.0688
"76",926,403,4.2556
"77",928,386,4.2047
"78",930,445,4.2944
"79",933,443,4.1016
"80",936,132,4.0758
"81",942,292,4.2021
"82",945,251,4.1474
"83",947,188,4.1064
"84",950,292,4.2397
"85",951,397,4.2494
"86",953,729,4.299
"87",954,383,4.2402
"88",955,413,4.1695
"89",965,253,4.0751
"90",969,1057,4.2517
"91",971,271,4.048
"92",989,1,5
"93",994,450,4.0956
"94",1002,8,4.25
"95",1036,1666,4.1218
"96",1041,474,4.038
"97",1046,90,4.0667
"98",1066,175,4.1657
"99",1080,926,4.0184
"100",1084,686,4.0962
"101",1086,379,4.0792
"102",1089,1259,4.1358
"103",1090,1143,4.0901
"104",1104,483,4.2257
"105",1111,94,4.0957
"106",1117,12,4.25
"107",1131,216,4.3241
"108",1132,220,4.2591
"109",1136,1599,4.3352
"110",1147,277,4.3213
"111",1148,882,4.5079
"112",1172,615,4.2878
"113",1175,368,4.0027
"114",1178,230,4.4739
"115",1189,269,4.2528
"116",1192,105,4.0286
"117",1193,1725,4.3907
"118",1196,2990,4.293
"119",1197,2318,4.3037
"120",1198,2514,4.4777
"121",1199,913,4.0975
"122",1200,1820,4.1258
"123",1201,822,4.1338
"124",1203,616,4.2955
"125",1204,831,4.4019
"126",1206,1229,4.0781
"127",1207,928,4.4256
"128",1208,1176,4.2432
"129",1209,173,4.0231
"130",1210,2883,4.0229
"131",1211,242,4.1116
"132",1212,480,4.4521
"133",1213,1657,4.2752
"134",1214,2024,4.1596
"135",1217,357,4.2689
"136",1218,244,4.1967
"137",1219,1263,4.2185
"138",1221,1692,4.3576
"139",1222,1254,4.1108
"140",1223,473,4.3615
"141",1224,426,4.2864
"142",1225,1382,4.2518
"143",1226,226,4.0531
"144",1228,677,4.1876
"145",1230,1334,4.1417
"146",1231,750,4.08
"147",1233,1001,4.3027
"148",1234,1049,4.3203
"149",1235,697,4.165
"150",1236,90,4.1889
"151",1237,299,4.2308
"152",1240,2098,4.152
"153",1242,1112,4.1933
"154",1244,718,4.0822
"155",1245,358,4.0056
"156",1246,855,4.0058
"157",1247,1261,4.2458
"158",1248,514,4.216
"159",1249,733,4.0055
"160",1250,938,4.387
"161",1251,228,4.1053
"162",1252,1185,4.3392
"163",1253,559,4.1413
"164",1254,453,4.2892
"165",1256,594,4.2104
"166",1258,1087,4.1049
"167",1259,1785,4.0969
"168",1260,308,4.3019
"169",1262,696,4.3764
"170",1263,700,4.11
"171",1264,257,4.0545
"172",1266,997,4.0903
"173",1267,765,4.3333
"174",1269,672,4.1682
"175",1272,645,4.2667
"176",1276,930,4.2538
"177",1278,1193,4.2506
"178",1280,277,4.1733
"179",1281,216,4.0324
"180",1283,403,4.1787
"181",1284,541,4.3124
"182",1287,704,4.1108
"183",1288,1118,4.1798
"184",1291,1628,4.1333
"185",1292,591,4.0135
"186",1293,671,4.1416
"187",1294,1099,4.1247
"188",1299,732,4.2486
"189",1300,330,4.1455
"190",1303,310,4.129
"191",1304,1419,4.2156
"192",1307,1568,4.0733
"193",1358,1177,4.2082
"194",1361,159,4.2138
"195",1362,100,4.03
"196",1387,1697,4.0896
"197",1394,1434,4.0209
"198",1423,14,4.3571
"199",1446,189,4.0529
"200",1449,462,4.1472
"201",1537,350,4.1371
"202",1545,73,4.0685
"203",1610,1652,4.0521
"204",1617,2288,4.2194
"205",1664,5,4.2
"206",1704,1548,4.1764
"207",1719,381,4.0446
"208",1780,8,4.125
"209",1795,2,4.5
"210",1797,167,4.006
"211",1830,1,5
"212",1900,61,4.1639
"213",1927,268,4.194
"214",1931,225,4.0311
"215",1934,77,4.013
"216",1935,107,4.028
"217",1939,236,4.1229
"218",1942,119,4.0336
"219",1944,364,4.0962
"220",1945,519,4.2697
"221",1947,761,4.0578
"222",1949,219,4.2329
"223",1950,348,4.1293
"224",1952,663,4.1131
"225",1953,861,4.0987
"226",1961,1330,4.0534
"227",1963,252,4.0516
"228",2010,388,4.0825
"229",2019,628,4.5605
"230",2028,2653,4.3374
"231",2064,798,4.0739
"232",2066,106,4.1509
"233",2067,564,4.0656
"234",2132,297,4.0741
"235",2186,482,4.305
"236",2194,1127,4.008
"237",2197,11,4.1818
"238",2203,233,4.2704
"239",2206,167,4.012
